Airfoil,Efficiency
e203.dat,56.6276
e209.dat,56.6276
du8608418.dat,56.4799
e197.dat,56.2841
du-80-141.dat,56.2354
e169.dat,56.1868
e210.dat,55.9448
du84132v.dat,55.7049
e226.dat,54.7265
e1210.dat,52.8494
e1213.dat,51.9200
e1212.dat,51.5491
e1212mod.dat,51.0628
e1211.dat,51.0227
dsma523b.dat,50.8231
e182.dat,50.8231
e171.dat,50.5069
e1230.dat,50.3894
du-80-176-v1.dat,50.0786
e1200.dat,49.6574
e1233.dat,48.6896
e1214.dat,48.6167
e1098.dat,47.6886
drgnfly.dat,23.0178
e228.dat,nan
e230.dat,nan
e325.dat,nan
e330.dat,nan
e58.dat,73.0115
e420.dat,70.9702
e423.dat,69.5512
e63.dat,68.5365
e71.dat,65.6080
e471.dat,64.1184
e62.dat,64.0551
e59.dat,63.3060
e378.dat,62.8770
e64.dat,62.4538
e387.dat,61.9770
e385.dat,61.6827
e591.dat,61.5879
e392.dat,60.7595
e852.dat,60.7595
e421.dat,60.6863
e426.dat,60.2522
e428.dat,59.8635
e66.dat,59.4798
e853.dat,59.2087
e393.dat,58.9936
e374.dat,58.7800
e817.dat,58.5152
e598.dat,58.0965
e593.dat,57.8378
e67.dat,57.6838
e472.dat,57.3274
e360.dat,57.0755
e361.dat,57.0755
e854.dat,56.9754
e485.dat,56.8756
e331.dat,56.8258
e332.dat,56.7761
e333.dat,56.7266
e334.dat,56.6771
e395.dat,56.3819
e637.dat,55.8966
e636.dat,55.8486
e68.dat,55.8006
e635.dat,55.7527
e638.dat,55.7527
e639.dat,55.6572
e474.dat,55.3725
e231.dat,55.1374
e396.dat,55.1374
e327.dat,55.0440
e328.dat,55.0440
e326.dat,54.9509
e329.dat,54.8580
e521.dat,54.8580
e562.dat,54.7655
e715.dat,54.7194
e851.dat,54.7194
e555.dat,54.5814
e397.dat,54.4899
e336.dat,54.4442
e338.dat,54.3986
e434.dat,54.3986
e478.dat,54.3986
e335.dat,54.3531
e337.dat,54.3531
e398.dat,54.3531
e556.dat,54.3531
e339.dat,54.2622
e520.dat,54.1266
e477.dat,53.9916
e557.dat,53.9916
e793.dat,53.9916
e625.dat,53.8573
e558.dat,53.8127
e855.dat,53.8127
e475.dat,53.6793
e399.dat,53.6349
e479.dat,53.4584
e559.dat,53.4584
e417.dat,53.4144
e473.dat,53.4144
e422.dat,53.3705
e407.dat,53.0653
