Airfoil,Efficiency
e59.dat,145.6076
e63.dat,145.3906
e471.dat,139.3818
e216.dat,138.6415
e423.dat,128.7769
e66.dat,125.8758
e62.dat,125.3274
e64.dat,123.4827
e417.dat,120.2813
e420.dat,119.3006
e392.dat,118.5254
e67.dat,117.8800
e407.dat,117.6665
e403.dat,116.8200
e193.dat,115.5728
e668.dat,115.1630
e195.dat,113.7511
e201.dat,112.9598
e68.dat,111.6012
e433.dat,109.9017
e197.dat,109.5310
e220.dat,109.3466
e434.dat,107.8935
e205.dat,107.7146
e393.dat,106.8288
e207.dat,105.4414
e598.dat,104.9304
e214.dat,103.9251
e591.dat,103.8335
e212.dat,103.5916
e395.dat,102.9349
e585.dat,102.6096
e657.dat,102.6096
e431.dat,102.2865
e211.dat,100.7006
e396.dat,99.7725
e662.dat,99.7725
e209.dat,99.6195
e397.dat,99.4669
e656.dat,99.3148
e203.dat,99.1632
e228.dat,nan
e230.dat,nan
e325.dat,nan
e326.dat,nan
e330.dat,nan
e335.dat,nan
e387.dat,118.5254
e385.dat,105.2705
e222.dat,105.1002
e374.dat,101.3290
e435.dat,99.0121
e582.dat,98.1147
e587.dat,97.3792
e593.dat,96.7987
e655.dat,96.3678
e502.dat,95.6582
e682.dat,95.3772
e654.dat,95.2374
e678.dat,94.6660
e421.dat,94.6556
e398.dat,93.8611
e541.dat,93.8611
e540.dat,93.4560
e399.dat,93.0543
e432.dat,92.6561
e642.dat,92.6561
e583.dat,92.2612
e604.dat,91.6106
e664.dat,91.0966
e580.dat,90.5884
e224.dat,89.5888
e557.dat,89.5888
e544.dat,88.7321
e639.dat,88.4903
e221.dat,88.2499
e543.dat,88.1301
e556.dat,88.0107
e334.dat,87.7728
e231.dat,87.3147
e210.dat,87.1914
e545.dat,86.2575
e555.dat,86.2575
e638.dat,86.2575
e266.dat,85.4630
e333.dat,85.4630
e584.dat,85.4630
e546.dat,85.3507
e551.dat,84.9045
e542.dat,84.7936
e547.dat,84.5728
e549.dat,84.4628
e562.dat,84.4628
e637.dat,83.8089
e329.dat,83.7009
e553.dat,83.5932
e328.dat,82.6360
e332.dat,82.5310
e603.dat,81.8034
e327.dat,81.3934
e548.dat,81.3934
e560.dat,80.2867
e636.dat,80.2867
e339.dat,80.1875
e559.dat,80.0887
e550.dat,79.9900
e338.dat,79.8916
e558.dat,79.8916
e552.dat,79.7935
e331.dat,79.1132
e554.dat,79.1132
e343.dat,78.8251
e426.dat,78.4443
e561.dat,78.3497
e337.dat,78.1611
e428.dat,76.7753
e478.dat,76.7753
e344.dat,76.4140
e485.dat,76.4140
e479.dat,75.7015
e473.dat,74.5716
e336.dat,74.4008
e342.dat,74.4008
e635.dat,74.1075
e625.dat,73.8090
e422.dat,73.5582
e472.dat,72.8160
e361.dat,72.0088
e360.dat,71.4542
e474.dat,71.2192
e476.dat,70.5999
e477.dat,70.5999
e226.dat,70.2876
e475.dat,66.9607
e520.dat,64.1817
e521.dat,62.5139
e297.dat,52.5076
e49.dat,40.0990
esa40.dat,nan
fg1.dat,377.8465
fx74080.dat,138.4902
fx74modsm.dat,132.7650
fx76120.dat,nan
fx84w140.dat,108.2532
giiia.dat,nan
goe287.dat,705.9990
goe359.dat,690.9777
goe280.dat,624.5376
goe374.dat,463.9008
goe324.dat,333.0867
goe329.dat,259.1425
goe364.dat,249.5461
goe331.dat,196.8240
goe06k.dat,141.8164
fx76mp120.dat,131.7767
goe234.dat,131.6411
goe233.dat,125.4859
goe242.dat,124.1022
goe12k.dat,121.0422
goe07k.dat,120.9533
e694.dat,120.3108
goe227.dat,119.2901
fx76mp140.dat,118.7133
goe241.dat,116.5631
goe226.dat,116.4030
e852.dat,116.1930
goe440.dat,115.7957
goe392.dat,114.7560
goe244.dat,114.3967
goe222.dat,114.1518
goe419.dat,113.7208
goe362.dat,113.3541
fx72150a.dat,113.3206
fx84w127.dat,113.1566
goe225.dat,113.0693
fx74130wp2mod.dat,112.7637
fx83w108.dat,112.5683
goe379.dat,112.1795
goe437.dat,111.7933
fx75141.dat,110.8394
goe439.dat,110.8394
fx84w097.dat,110.2749
goe399.dat,108.4339
fx78k140.dat,107.3585
goe101.dat,106.8288
goe372.dat,105.5240
goe11k.dat,105.3531
goe377.dat,104.9856
fx84w150.dat,104.9304
gm15sm.dat,104.7611
goe403.dat,104.7611
goe326.dat,104.4243
goe137.dat,104.2567
goe428.dat,103.9230
fx72ls160.dat,102.7168
goe133.dat,102.4478
goe370.dat,102.1256
goe142.dat,101.9653
goe180.dat,101.9653
fx83w160.dat,101.0138
fx74130wp1.dat,100.8570
fx76mp160.dat,100.8327
goe396.dat,100.5447
goe442.dat,100.5447
goe335.dat,99.6195
fx79k144.dat,99.4669
goe13k.dat,99.3148
goe408.dat,97.6720
goe385.dat,97.3792
goe389.dat,96.6546
goe398.dat,93.5906
goe395.dat,93.4560
goe394.dat,93.0543
goe369.dat,88.9752
