Airfoil,Efficiency
drgnfly.dat,165.3500
ah93k130.dat,134.3932
ah83159.dat,134.0410
ah93k132.dat,124.2717
ah93156.dat,123.7783
ah94156.dat,122.3782
ah93157.dat,118.2688
ah79k143.dat,106.9189
august160.dat,104.9038
atr72sm.dat,75.6057
ames01.dat,66.3147
ames03.dat,61.7136
e1233.dat,106.1333
e1213.dat,73.1777
e1214.dat,68.2068
e421.dat,151.8920
e642.dat,113.8954
e266.dat,107.3055
e541.dat,100.7896
e542.dat,86.1577
e636.dat,79.7734
e338.dat,78.0630
e343.dat,78.0391
e625.dat,58.3845
e478.dat,52.4179
e474.dat,46.9630
e473.dat,46.0509
e479.dat,38.4465
fx08s176.dat,136.1531
e858.dat,88.9131
fx74130wp2.dat,172.2176
fx78k140a20.dat,137.0221
fx77w153.dat,106.3941
fx78k161.dat,88.8184
goe227.dat,181.5195
goe390.dat,121.2248
goe384.dat,120.6514
goe434.dat,125.9667
goe424.dat,117.7115
goe421.dat,114.6644
fx84w218.dat,98.5792
glennmartin2.dat,74.4373
goe627.dat,90.8680
goe798.dat,123.4237
goe777.dat,114.9819
hor20.dat,96.3772
goe744.dat,79.6651
ist-mt1-18.dat,206.5709
ist-mt1-21.dat,161.5053
la5055.dat,142.0685
lnv109a.dat,84.7619
la2573a.dat,66.7148
ls421mod.dat,110.6156
ls421.dat,109.2053
ls417mod.dat,100.3055
marske4.dat,58.9839
marske3.dat,56.7896
marske2.dat,55.1565
mh91.dat,56.6251
nlf0215f.dat,156.9833
n64212mb.dat,68.3490
n63215b.dat,66.8431
oaf117.dat,90.8842
oa213.dat,77.5561
nl722362.dat,76.8040
oa212.dat,66.8727
npl9627.dat,56.7755
r1046.dat,160.0763
usa35a.dat,139.3346
usa35.dat,139.2898
sp4721bs.dat,131.1693
sp4721la.dat,130.6160
sd8020.dat,54.5029
r1080.dat,114.7539
r1082.dat,112.5552
raf6prop_sm.dat,112.2153
usa45.dat,110.7154
sc20712.dat,84.5628
sc20612.dat,80.3478
sc20614.dat,80.1319
vr12.dat,78.5753
sc20610.dat,77.1116
sc1012r8.dat,75.5851
rae5215.dat,69.6186
sc2110.dat,68.7602
rc10b3.dat,66.8970
vr1.dat,62.8793
raf69.dat,60.3041
s1046.dat,53.6418
w1015.dat,52.9186
""
