Airfoil,Efficiency
e407.dat,142.6448
e561.dat,141.8103
e560.dat,140.4616
e68.dat,138.4407
e584.dat,134.5086
e557.dat,133.8017
e387.dat,133.3483
e562.dat,131.5388
e748.dat,130.9910
e559.dat,130.4730
e639.dat,130.3988
e403.dat,130.0669
e603.dat,129.3073
e598.dat,128.2647
e417.dat,126.8065
e64.dat,125.6451
e62.dat,125.3274
e593.dat,119.9864
e207.dat,119.3484
e553.dat,118.8392
e551.dat,117.7162
e793.dat,117.4649
e638.dat,115.2583
e682.dat,115.0921
e554.dat,113.9376
e642.dat,113.8954
e552.dat,113.6175
e556.dat,113.3541
e220.dat,113.1233
e212.dat,112.4941
e664.dat,109.1391
e211.dat,109.1179
e266.dat,107.3055
e222.dat,107.1990
e209.dat,106.8968
e549.dat,105.4941
e540.dat,104.0755
e558.dat,104.0069
e544.dat,102.8514
e555.dat,102.0195
e545.dat,101.8824
e541.dat,100.7896
e550.dat,100.6822
e715.dat,99.9612
e334.dat,97.4696
e543.dat,96.2324
e374.dat,95.9672
e637.dat,94.4469
e547.dat,93.4532
e546.dat,93.0967
e329.dat,92.3332
e339.dat,90.5321
e502.dat,90.3810
e224.dat,90.1918
e548.dat,88.8786
e817.dat,87.2841
e221.dat,87.2425
e231.dat,87.1461
e344.dat,86.3038
e542.dat,86.1577
e333.dat,82.8657
e328.dat,80.7814
e636.dat,79.7734
e49.dat,78.7436
e338.dat,78.0630
e343.dat,78.0391
e818.dat,73.1589
e332.dat,70.0897
e226.dat,69.8812
e426.dat,69.2843
e635.dat,68.8045
e327.dat,68.0349
e485.dat,66.4140
e428.dat,66.2738
e337.dat,65.3344
e361.dat,63.6466
e342.dat,63.1852
e360.dat,59.4684
e331.dat,58.8911
e625.dat,58.3845
e472.dat,56.7218
e477.dat,55.5109
e476.dat,54.8969
e520.dat,54.8037
e478.dat,52.4179
e336.dat,52.1549
e521.dat,51.5011
e474.dat,46.9630
e473.dat,46.0509
e297.dat,44.7284
e475.dat,42.2523
e479.dat,38.4465
fg1.dat,723.4563
fx72150a.dat,201.5271
fx63137sm.dat,180.7452
fx67k150.dat,169.5348
fx63120.dat,167.8993
fx67k170.dat,161.8775
fx61184.dat,143.9430
