airfoil,efficiency_alfa,efficiency_CL,efficiency_difference
e71.dat,341.7806,148.292,193.4886
ah79100c.dat,212.3764,134.7402,77.6362
ah79100b.dat,208.2179,142.8539,65.36399999999998
ah94145.dat,199.8732,100.3893,99.48389999999999
drgnfly.dat,165.35,87.8916,77.4584
ah80129.dat,159.969,116.82,43.149
du861372.dat,155.269,50.3894,104.87960000000001
ah63k127.dat,154.9251,113.7511,41.17399999999999
ah88k130.dat,151.0852,111.7933,39.291899999999984
ah81k144.dat,149.9837,105.7849,44.198800000000006
ah82150a.dat,145.2409,100.2344,45.00650000000002
e1098.dat,145.204,83.0587,62.145300000000006
ah6407.dat,144.1595,95.3772,48.782300000000006
ah93w145.dat,143.394,95.9408,47.45320000000001
ec863914.dat,142.4552,140.5993,1.8558999999999912
ah82150f.dat,140.1653,91.6106,48.5547
e854.dat,139.8924,95.5175,44.37490000000001
ah80140.dat,138.949,101.0138,37.93520000000001
ah93k131.dat,135.0778,107.7146,27.363199999999992
ah93k130.dat,134.3932,110.088,24.305200000000013
ah83159.dat,134.041,89.4654,44.575599999999994
ah79100a.dat,133.3916,104.4243,28.96730000000001
ah83150q.dat,132.3534,92.1304,40.223
ah93w174.dat,129.9921,89.5888,40.40329999999999
ah79k132.dat,129.3923,111.6012,17.7911
ah93k132.dat,124.2717,108.2532,16.01849999999999
ah93156.dat,123.7783,93.1878,30.590500000000006
a18sm.dat,123.5626,83.8913,39.6713
ah94156.dat,122.3782,92.1304,30.247800000000012
ah93157.dat,118.2688,91.6106,26.658199999999994
2032c.dat,114.3861,72.2491,42.137
ah81131.dat,112.7642,108.2532,4.510999999999996
ah79k135.dat,111.9894,111.0289,0.9605000000000103
ah79k143.dat,106.9189,97.3792,9.539699999999996
ah88k136.dat,106.0828,94.5443,11.538499999999999
a18.dat,105.5205,91.6643,13.856200000000001
ah80136.dat,104.7321,108.4339,-3.7017999999999915
ah93w257.dat,102.5452,70.5999,31.94529999999999
ag23.dat,101.2239,96.6546,4.569299999999998
ag35.dat,100.852,93.5906,7.261400000000009
ag25.dat,99.9441,95.2374,4.706700000000012
ag24.dat,99.6059,95.3772,4.2287000000000035
ag26.dat,98.1896,93.456,4.733599999999996
ag36.dat,95.7379,91.9999,3.7379999999999995
ag37.dat,91.7218,88.3699,3.3519000000000005
ah93w215.dat,90.7124,85.127,5.585400000000007
ag19.dat,88.1434,85.2387,2.9047000000000054
ag18.dat,87.7207,85.2387,2.4819999999999993
ah21-7.dat,87.3279,88.4648,-1.1368999999999971
ag17.dat,86.8682,85.0156,1.8525999999999954
ag44ct02r.dat,86.858,87.0669,-0.20889999999999986
ag16.dat,86.0446,84.9045,1.1401000000000039
ag38.dat,86.0198,81.2915,4.728300000000004
ag54.dat,85.8885,85.5756,0.31289999999999907
ag14.dat,85.6347,83.8089,1.825800000000001
ag55.dat,85.2526,84.5728,0.6798000000000002
ag53.dat,85.06,84.5728,0.4872000000000014
ag52.dat,84.7007,84.1346,0.5660999999999916
ag13.dat,84.2427,83.0587,1.1839999999999975
ag45ct02r.dat,83.5725,84.6831,-1.110599999999991
ag12.dat,83.3786,82.4263,0.9523000000000081
ag11.dat,83.3513,82.1137,1.2376000000000005
ag03.dat,82.7061,82.8468,-0.14069999999999538
ag455ct02r.dat,82.2323,83.3786,-1.1463000000000108
ah93w300.dat,80.2859,59.0472,21.2387
ag04.dat,79.7572,80.5855,-0.8282999999999987
ag45c03.dat,79.3312,87.0669,-7.7357000000000085
ag08.dat,78.1901,78.4443,-0.2541999999999973
ah94w301.dat,77.4996,61.7414,15.758200000000002
ag46ct02r.dat,77.3894,79.6956,-2.306200000000004
ag09.dat,75.7745,76.2346,-0.46009999999999707
ah21-9.dat,72.6272,72.5982,0.028999999999996362
ag10.dat,71.5674,73.2265,-1.6590999999999951
ag46c03.dat,69.7574,79.3064,-9.548999999999992
ag47ct02r.dat,67.8108,73.0618,-5.251000000000005
ag47c03.dat,59.351,72.7345,-13.383499999999998
ah81k144wfKlappe.dat,49.0352,55.6095,-6.574299999999994
ag27.dat,34.7635,91.0966,-56.333099999999995
ah85l120.dat,31.8262,38.5612,-6.734999999999999
ah93w480b.dat,28.0042,13.7,14.304200000000002
ch10sm.dat,205.2999,162.3637,42.936200000000014
dae11.dat,204.5856,97.2334,107.3522
as6098.dat,198.9169,151.6125,47.30439999999999
as6099.dat,193.2489,162.5174,30.731499999999983
dae31.dat,192.6494,92.1304,100.51900000000002
ah95160.dat,191.6779,96.7987,94.8792
as6096.dat,164.5881,117.0445,47.5436
as6095.dat,160.8116,120.684,40.1276
dae51.dat,144.0681,124.6678,19.400299999999987
cootie.dat,141.9142,84.4628,57.45139999999999
curtisc72.dat,138.013,107.7146,30.2984
cr001sm.dat,133.7843,124.4289,9.355400000000003
apex16_NASA_CR-201062.dat,128.4829,111.219,17.263900000000007
aquilasm.dat,128.0784,32.3856,95.69279999999999
cal2263m.dat,124.5227,107.7146,16.808099999999996
clarkz.dat,124.0038,101.8672,22.1366
daytonwrightt1.dat,121.7426,92.7884,28.9542
clarkv.dat,120.7623,114.9591,5.80319999999999
clarkx.dat,119.1525,107.7146,11.437899999999999
arad6.dat,118.6579,95.9408,22.717100000000002
clarkw.dat,117.6879,98.412,19.275899999999993
clarkysm.dat,116.6976,103.5916,13.105999999999995
clarkk.dat,115.6503,78.7296,36.9207
davis.dat,115.3507,105.4414,9.909300000000002
clarky.dat,112.0095,101.6462,10.36330000000001
as6093.dat,111.8959,93.6745,18.221400000000003
as6091.dat,111.7733,104.4243,7.349000000000004
as6092.dat,111.7615,101.6462,10.115300000000005
clarym15.dat,107.1755,84.9045,22.271
dae21.dat,105.3345,85.9771,19.357400000000013
august160.dat,104.9038,76.5942,28.309600000000003
davissm.dat,104.6713,90.0859,14.585400000000007
cal1215j.dat,104.4227,97.3792,7.043500000000009
clarkyh.dat,94.6836,76.1453,18.538299999999992
clarym18.dat,89.8956,75.8784,14.017200000000003
bw3.dat,88.916,83.7009,5.2150999999999925
b29tip.dat,87.5229,92.5216,-4.9986999999999995
boe106.dat,119.3917,99.3148,20.076899999999995
apex16.dat,111.1095,106.8288,4.280699999999996
boe103.dat,102.7664,90.8418,11.924599999999998
arad10.dat,99.9091,79.4033,20.505799999999994
arad13.dat,90.307,73.392,16.915000000000006
arad20.dat,88.9787,65.1473,23.831400000000002
as5048.dat,86.9942,86.1431,0.8511000000000024
davis_corrected.dat,85.8138,87.3009,-1.487099999999998
as5046.dat,83.7847,79.1132,4.671499999999995
as5045.dat,83.2907,81.3934,1.8973000000000013
cr1.dat,83.0661,82.636,0.43010000000001014
bte-fk.dat,79.7049,77.6937,2.011199999999988
c141f.dat,77.8481,74.7433,3.1047999999999973
cal4014l.dat,77.6389,87.4184,-9.779499999999999
bacxxx.dat,77.118,77.5082,-0.3902000000000072
b737d.dat,76.8257,79.3064,-2.480699999999999
avistar.dat,75.6848,79.2242,-3.5394000000000005
atr72sm.dat,75.6057,74.3157,1.289999999999992
coanda3.dat,74.0955,79.5509,-5.455399999999997
c141e.dat,73.4108,69.7657,3.6450999999999993
b737c.dat,73.2103,75.8373,-2.6269999999999953
cast102.dat,71.6296,68.7322,2.8973999999999904
amsoil1.dat,71.2397,69.606,1.6337000000000046
c141d.dat,70.4417,68.0125,2.4291999999999945
b737b.dat,69.4639,73.9771,-4.513199999999998
be50.dat,67.8948,97.1224,-29.227599999999995
b707e.dat,66.8616,65.941,0.9205999999999932
b707d.dat,66.4747,66.0752,0.3995000000000033
ames01.dat,66.3147,75.7015,-9.386799999999994
c141c.dat,65.3921,66.8918,-1.4997000000000043
c5c.dat,64.7831,65.344,-0.5608999999999895
c5d.dat,63.9339,65.2128,-1.2789000000000001
c5e.dat,63.841,65.2783,-1.4373000000000005
b707c.dat,63.1178,64.7576,-1.639799999999994
ames03.dat,61.7136,73.893,-12.179400000000001
be50sm.dat,60.4709,75.6971,-15.226200000000006
b737a.dat,59.442,64.4364,-4.994400000000006
c5b.dat,58.3947,63.6783,-5.2836
bacnlf.dat,58.0556,56.1382,1.9174000000000007
amsoil2.dat,57.2723,62.7555,-5.4831999999999965
c141b.dat,55.814,62.9379,-7.123899999999999
c141a.dat,54.1693,61.977,-7.807699999999997
cap21c.dat,53.4317,62.3339,-8.9022
b540ols.dat,52.613,66.0752,-13.462199999999996
daytonwright6.dat,51.9512,84.4481,-32.4969
clarkys.dat,50.5777,76.0561,-25.4784
bqm34.dat,50.4186,64.4364,-14.017800000000008
