Airfoil,Efficiency
davissm.dat,99.5783
cootie.dat,98.4741
curtisc72.dat,98.3938
be50sm.dat,93.2384
be50.dat,91.1112
cr001sm.dat,90.8455
dae31.dat,89.3872
dae21.dat,89.1420
dae51.dat,86.9883
bw3.dat,85.2237
daytonwrightt1.dat,83.1674
dae11.dat,82.9718
e174.dat,81.7989
e1210.dat,79.7196
du-80-141.dat,79.5510
clarkz.dat,76.5159
du84132v.dat,74.7661
e1211.dat,74.1924
dsma523b.dat,73.9451
ch10sm.dat,73.0027
boe103.dat,72.8675
dfvlrr4.dat,72.0830
clarky.dat,72.0565
clarkv.dat,71.8717
clarkw.dat,71.1041
davis.dat,70.8546
clarkk.dat,70.7708
clarkx.dat,70.5682
ds19.dat,69.7137
cal2263m.dat,67.6177
ds21.dat,66.3528
clarkysm.dat,66.2645
c141f.dat,65.3489
boe106.dat,65.1498
clarym15.dat,65.1469
daytonwright6.dat,64.6799
e1233.dat,63.9187
clarkyh.dat,63.3993
cr1.dat,63.2149
du-80-176-v1.dat,62.6969
e1212.dat,62.5491
defcnd3.dat,62.5316
dga1138.dat,62.0848
e1230.dat,61.6866
df102.dat,61.3242
df101.dat,61.0462
cast102.dat,59.7355
e1200.dat,59.3840
bte-fk.dat,58.5684
chen.dat,58.3586
c141e.dat,58.1940
cal1215j.dat,58.0533
defcnd2.dat,57.9459
bacxxx.dat,55.6627
e1098.dat,55.3997
dormoy.dat,55.1708
c141d.dat,54.7356
c5e.dat,54.6799
clarym18.dat,54.4238
b737d.dat,54.3984
b737c.dat,53.3775
c5d.dat,52.7626
b707d.dat,52.6475
c5c.dat,52.3690
e1212mod.dat,52.3554
b737b.dat,52.2915
c141c.dat,52.0317
coanda3.dat,51.8028
doa5.dat,51.0724
b707c.dat,50.5178
b707e.dat,50.4000
c5b.dat,50.2201
du8608418.dat,50.1237
b737a.dat,50.1023
e1213.dat,49.6828
b29tip.dat,49.4265
bacnlf.dat,49.3252
cap21c.dat,47.7938
davis_corrected.dat,47.6170
c141b.dat,47.3154
coanda2.dat,47.2656
cal4014l.dat,46.4271
e1214.dat,46.0918
c141a.dat,46.0085
coanda1.dat,45.0233
avistar.dat,43.1062
c5a.dat,42.6960
dga1182.dat,42.3962
defcnd1.dat,42.1683
b540ols.dat,41.5112
e168.dat,39.4977
e171.dat,38.6273
clarkys.dat,38.2554
e169.dat,38.2357
bqm34.dat,38.0209
ah93w215.dat,32.9089
dh4009sm.dat,31.5059
bambino6.dat,29.6264
goe683.dat,24.3189
drgnfly.dat,23.1410
goe460.dat,18.9294
b29root.dat,18.7660
dbln526.dat,16.2640
ah93w480b.dat,14.9597
bacj.dat,3.5386
e184.dat,nan
e186.dat,nan
e664ex.dat,125.5631
e216.dat,107.2241
e214.dat,91.2085
e212.dat,85.5721
e210.dat,83.7855
e211.dat,78.3706
e222.dat,76.2253
e193.dat,75.0234
e176.dat,73.8277
e201.dat,71.4945
e195.dat,69.0860
e203.dat,67.7404
e178.dat,65.3930
e205.dat,64.9088
e224.dat,64.0487
e197.dat,62.8812
e207.dat,61.9536
e209.dat,58.7787
e228.dat,nan
e230.dat,nan
e325.dat,nan
e330.dat,nan
e58.dat,112.6470
e385.dat,109.7617
e63.dat,103.7603
e378.dat,102.2992
e59.dat,100.0020
e591.dat,99.8460
e62.dat,98.9744
e471.dat,98.1355
e395.dat,94.6561
e421.dat,90.7471
e396.dat,90.6366
e66.dat,90.2933
e393.dat,88.8508
e398.dat,88.8152
e560.dat,87.9033
e64.dat,87.5040
e422.dat,87.4184
e423.dat,86.5339
e397.dat,86.5061
e399.dat,86.1857
e561.dat,85.6299
e392.dat,84.9450
e420.dat,84.8951
e562.dat,84.0672
e580.dat,83.1869
e557.dat,83.1694
e559.dat,82.7840
e387.dat,80.6734
e556.dat,78.1271
e558.dat,75.7624
e432.dat,73.0111
e407.dat,72.3246
e555.dat,72.2137
e585.dat,72.0967
e435.dat,71.9173
e434.dat,71.7644
e598.dat,69.9795
e554.dat,69.9331
e433.dat,69.4046
e431.dat,69.3586
e417.dat,69.1735
e582.dat,68.7150
e593.dat,68.5201
e639.dat,68.1539
e403.dat,68.0155
e587.dat,68.0116
e553.dat,67.1480
e552.dat,65.9179
e334.dat,65.1909
e654.dat,63.5571
e551.dat,62.9807
e339.dat,62.1165
e638.dat,62.1115
e656.dat,61.0618
e344.dat,60.3217
e583.dat,60.1700
e329.dat,60.1562
e657.dat,59.2616
e550.dat,59.1241
e655.dat,58.7400
e662.dat,58.4456
e333.dat,57.8114
e549.dat,57.0037
e180.dat,56.6552
e338.dat,55.8050
e374.dat,55.7588
e545.dat,55.2289
e584.dat,55.2106
e603.dat,55.1422
e642.dat,54.9497
e604.dat,54.1106
e343.dat,53.8223
e328.dat,53.3019
e546.dat,52.8932
e231.dat,52.8101
e637.dat,52.2231
e548.dat,52.1793
e426.dat,51.2953
e226.dat,50.9952
e547.dat,50.6921
e332.dat,50.1436
e221.dat,49.9581
e544.dat,49.6008
e220.dat,48.8440
e428.dat,48.7719
e266.dat,48.7605
e337.dat,48.7554
e664.dat,48.4908
e342.dat,47.7967
e360.dat,47.4014
e543.dat,46.5953
e485.dat,46.2604
e361.dat,46.1829
e327.dat,46.1658
e636.dat,45.6157
e540.dat,44.4564
e542.dat,43.3470
e182.dat,43.2354
e331.dat,42.7411
e625.dat,42.4523
e336.dat,41.9620
e502.dat,41.0751
e635.dat,39.5614
e326.dat,39.0563
e541.dat,38.7287
e297.dat,38.0443
e472.dat,37.5606
e521.dat,37.3028
e520.dat,36.9390
e478.dat,36.7486
e474.dat,36.6491
e479.dat,36.1866
e477.dat,35.6552
e335.dat,35.3413
e473.dat,34.6311
e475.dat,34.3239
e476.dat,33.4692
e864.dat,nan
fx74modsm.dat,113.1692
fx73cl2152.dat,110.3045
fx74cl6140.dat,101.1857
fxm2.dat,96.4494
eiffel385.dat,93.9680
e793.dat,81.6481
e748.dat,81.6121
e67.dat,81.5441
ec863914.dat,81.2823
fx83w108.dat,80.9078
e853.dat,80.6466
e854.dat,79.2283
e855.dat,75.4818
eiffel430.dat,75.0851
eiffel428.dat,72.6670
e68.dat,72.4329
e856.dat,67.9056
e678.dat,67.5683
e668.dat,67.0417
e852.dat,66.6318
e817.dat,62.4701
e857.dat,59.9585
e715.dat,59.3271
eiffel371.dat,55.2150
e851.dat,54.4598
e694.dat,53.2973
eh2070.dat,51.8415
e818.dat,51.5489
e858.dat,50.5542
eh2010.dat,49.0584
eh1590.dat,47.9680
e682.dat,47.2618
eh2012.dat,47.0681
e850.dat,46.1654
eh1090.dat,45.8771
e908.dat,45.8302
eh2510.dat,45.2368
eh3012.dat,44.6823
eh1070.dat,40.1914
eh0009.dat,38.6161
e836.dat,36.0725
e904.dat,35.4539
ea61012.dat,35.3119
e837.dat,34.9839
e874.dat,34.6486
ea61009.dat,33.8640
ea81006.dat,33.4277
e838.dat,31.3063
e862.dat,21.7993
e863.dat,10.7088
esa40.dat,nan
fg3.dat,390.3373
fx63120.dat,110.4135
fx63137sm.dat,110.3391
fx63137.dat,110.2789
fx63100.dat,106.3449
fx63110.dat,104.2083
fx601261.dat,92.4171
fx60100.dat,91.8267
fx601001.dat,91.5217
fx60100sm.dat,91.5217
fx60126.dat,87.4701
fx63145.dat,86.4742
fx63158.dat,86.3209
fx082512.dat,86.0268
fx61147.dat,85.7967
fx61140.dat,84.9988
fx61168.dat,78.4147
fx66s161.dat,72.8292
fx66a175.dat,71.7372
fx61184.dat,70.9980
fx66s171.dat,69.9906
fg1.dat,69.7981
fg2.dat,67.1542
fx60157.dat,66.7450
fx6617ai.dat,65.9917
fx60160.dat,65.1539
fx66182.dat,64.8171
fx049915.dat,64.3931
fx63143.dat,62.3168
fx057816.dat,61.6801
fx08s176.dat,61.3091
